Id,Label,Link
ADDAM_MARBRAND,Addam,https://gameofthrones.fandom.com/wiki/Addam_Marbrand
AERYS,Aerys,https://gameofthrones.fandom.com/wiki/Aerys_II_Targaryen
ARYA,Arya,https://gameofthrones.fandom.com/wiki/Arya_Stark
BALON,Balon,https://gameofthrones.fandom.com/wiki/Balon_Greyjoy
BARRISTAN,Barristan,https://gameofthrones.fandom.com/wiki/Barristan_Selmy
BENJEN,Benjen,https://gameofthrones.fandom.com/wiki/Benjen_Stark
BERIC,Beric,https://gameofthrones.fandom.com/wiki/Beric_Dondarrion
BOWEN_MARSH,Bowen,https://gameofthrones.fandom.com/wiki/Bowen_Marsh
BRAN,Bran,https://gameofthrones.fandom.com/wiki/Bran_Stark
BRONN,Bronn,https://gameofthrones.fandom.com/wiki/Bronn
CATELYN,Catelyn,https://gameofthrones.fandom.com/wiki/Catelyn_Stark
CERSEI,Cersei,https://gameofthrones.fandom.com/wiki/Cersei_Lannister
COHOLLO,Cohollo,https://gameofthrones.fandom.com/wiki/Cohollo
DAENERYS,Daenerys,https://gameofthrones.fandom.com/wiki/Daenerys_Targaryen
DAREON,Dareon,https://gameofthrones.fandom.com/wiki/Dareon
DOREAH,Doreah,https://gameofthrones.fandom.com/wiki/Doreah
DROGO,Drogo,https://gameofthrones.fandom.com/wiki/Drogo
GALBART_GLOVER,Galbart,https://gameofthrones.fandom.com/wiki/Galbart_Glover
GARED,Gared,https://gameofthrones.fandom.com/wiki/Gared
GENDRY,Gendry,https://gameofthrones.fandom.com/wiki/Gendry_Baratheon
GREATJON_UMBER,Greatjon,https://gameofthrones.fandom.com/wiki/Greatjon_Umber
GRENN,Grenn,https://gameofthrones.fandom.com/wiki/Grenn
HODOR,Hodor,https://gameofthrones.fandom.com/wiki/Hodor
HOSTER,Hoster,https://gameofthrones.fandom.com/wiki/Hoster_Tully
HOT_PIE,Hot Pie,https://gameofthrones.fandom.com/wiki/Hot_Pie
HOUND,Sandor,https://gameofthrones.fandom.com/wiki/Sandor_Clegane
ILLYRIO,Illyrio,https://gameofthrones.fandom.com/wiki/Illyrio_Mopatis
ILYN_PAYNE,Ilyn,https://gameofthrones.fandom.com/wiki/Ilyn_Payne
IRRI,Irri,https://gameofthrones.fandom.com/wiki/Irri
JAIME,Jaime,https://gameofthrones.fandom.com/wiki/Jaime_Lannister
JANOS,Janos,https://gameofthrones.fandom.com/wiki/Janos_Slynt
JAREMY_RYKKER,Jaremy,https://gameofthrones.fandom.com/wiki/Jaremy_Rykker
JEOR,Jeor,https://gameofthrones.fandom.com/wiki/Jeor_Mormont
JHIQUI,Jhiqui,https://gameofthrones.fandom.com/wiki/Jhiqui
JOFFREY,Joffrey,https://gameofthrones.fandom.com/wiki/Joffrey_Baratheon
JON,Jon,https://gameofthrones.fandom.com/wiki/Jon_Snow
JON_ARRYN,Jon Arryn,https://gameofthrones.fandom.com/wiki/Jon_Arryn
JONOS_BRACKEN,Jonos,https://gameofthrones.fandom.com/wiki/Jonos_Bracken
JORAH,Jorah,https://gameofthrones.fandom.com/wiki/Jorah_Mormont
JORY_CASSEL,Jory,https://gameofthrones.fandom.com/wiki/Jory_Cassel
JOYEUSE,Joyeuse,https://gameofthrones.fandom.com/wiki/Joyeuse_Frey
KEVAN,Kevan,https://gameofthrones.fandom.com/wiki/Kevan_Lannister
LANCEL,Lancel,https://gameofthrones.fandom.com/wiki/Lancel_Lannister
LEO_LEFFORD,Leo,https://gameofthrones.fandom.com/wiki/Leo_Lefford
LITTLEFINGER,Petyr,https://gameofthrones.fandom.com/wiki/Petyr_Baratheon
LOMMY_GREENHANDS,Lommy,https://gameofthrones.fandom.com/wiki/Lommy
LORAS,Loras,https://gameofthrones.fandom.com/wiki/Loras_Tyrell
LUKE,Luke,https://gameofthrones.fandom.com/wiki/Luke
LYANNA,Lyanna,https://gameofthrones.fandom.com/wiki/Lyanna_Stark
LYSA,Lysa,https://gameofthrones.fandom.com/wiki/Lysa_Arryn
MAESTER_AEMON,Aemon,https://gameofthrones.fandom.com/wiki/Aemon
MAESTER_LUWIN,Luwin,https://gameofthrones.fandom.com/wiki/Luwin
MAGO,Mago,https://gameofthrones.fandom.com/wiki/Mago
MARILLION,Marillion,https://gameofthrones.fandom.com/wiki/Marillion
MASHA_HEDDLE,Masha,https://gameofthrones.fandom.com/wiki/Masha_Heddle
MELESSA,Melessa,https://gameofthrones.fandom.com/wiki/Melessa_Tarly
MERYN_TRANT,Meryn,https://gameofthrones.fandom.com/wiki/Meryn_Trant
MHAEGEN,Mhaegen,https://gameofthrones.fandom.com/wiki/Mhaegen
MORD,Mord,https://gameofthrones.fandom.com/wiki/Mord
MOUNTAIN,Gregor,https://gameofthrones.fandom.com/wiki/Gregor_Clegane
MYCAH,Mycah,https://gameofthrones.fandom.com/wiki/Mycah
MYRCELLA,Myrcella,https://gameofthrones.fandom.com/wiki/Myrcella_Baratheon
NED,Ned,https://gameofthrones.fandom.com/wiki/Ned_Umber
OLD_NAN,Old Nan,https://gameofthrones.fandom.com/wiki/Old_Nan
OSHA,Osha,https://gameofthrones.fandom.com/wiki/Osha
OTHOR,Othor,https://gameofthrones.fandom.com/wiki/Othor
PYCELLE,Pycelle,https://gameofthrones.fandom.com/wiki/Pycelle
QOTHO,Qotho,https://gameofthrones.fandom.com/wiki/Qotho
RAKHARO,Rakharo,https://gameofthrones.fandom.com/wiki/Rakharo
RANDYLL,Randyll,https://gameofthrones.fandom.com/wiki/Randyll_Tarly
RAST,Rast,https://gameofthrones.fandom.com/wiki/Rast
RENLY,Renly,https://gameofthrones.fandom.com/wiki/Renly_Baratheon
RHAEGAR,Rhaegar,https://gameofthrones.fandom.com/wiki/Rhaegar_Targaryen
RHAEGO,Rhaego,https://gameofthrones.fandom.com/wiki/Rhaego
RICKARD_KARSTARK,Rickard Karstark,https://gameofthrones.fandom.com/wiki/Rickard_Karstark
RICKARD_STARK,Rickard Stark,https://gameofthrones.fandom.com/wiki/Rickard_Stark
RICKON,Rickon,https://gameofthrones.fandom.com/wiki/Rickon_Stark
ROBB,Robb,https://gameofthrones.fandom.com/wiki/Robb_Stark
ROBERT,Robert,https://gameofthrones.fandom.com/wiki/Robert_Baratheon
ROBIN,Robin,https://gameofthrones.fandom.com/wiki/Robin_Arryn
RODRIK,Rodrik,https://gameofthrones.fandom.com/wiki/Rodrik_Cassel
ROOSE_BOLTON,Roose,https://gameofthrones.fandom.com/wiki/Roose_Bolton
ROS,Ros,https://gameofthrones.fandom.com/wiki/Ros
RYGER_RIVERS,Ryger,https://gameofthrones.fandom.com/wiki/Ryger_Rivers
SAM,Sam,https://gameofthrones.fandom.com/wiki/Sam
SANSA,Sansa,https://gameofthrones.fandom.com/wiki/Sansa_Stark
SHAE,Shae,https://gameofthrones.fandom.com/wiki/Shae
SHAGGA,Shagga,https://gameofthrones.fandom.com/wiki/Shagga
STANNIS,Stannis,https://gameofthrones.fandom.com/wiki/Stannis_Baratheon
STEFFON,Steffon,https://gameofthrones.fandom.com/wiki/Steffon
STEVRON_FREY,Stevron,https://gameofthrones.fandom.com/wiki/Stevron_Frey
SYRIO_FOREL,Syrio,https://gameofthrones.fandom.com/wiki/Syrio_Forel
THEON,Theon,https://gameofthrones.fandom.com/wiki/Theon_Greyjoy
TOBHO_MOTT,Tobho Mott,https://gameofthrones.fandom.com/wiki/Tobho_Mott
TOMARD,Tomard,https://gameofthrones.fandom.com/wiki/Tomard
TOMMEN,Tommen,https://gameofthrones.fandom.com/wiki/Tommen_Baratheon
TYRION,Tyrion,https://gameofthrones.fandom.com/wiki/Tyrion_Lannister
TYWIN,Tywin,https://gameofthrones.fandom.com/wiki/Tywin_Lannister
VARDIS_EGEN,Vardis,https://gameofthrones.fandom.com/wiki/Vardis_Egen
VARLY,Varly,https://gameofthrones.fandom.com/wiki/Varly
VARYS,Varys,https://gameofthrones.fandom.com/wiki/Varys
VISERYS,Viserys,https://gameofthrones.fandom.com/wiki/Viserys_Targaryen_(son_of_Aerys_II)
WALDER,Walder,https://gameofthrones.fandom.com/wiki/Walder_Rivers
WAYMAR_ROYCE,Waymar,https://gameofthrones.fandom.com/wiki/Waymar_Royce
