Source,Target,Weight
JON,SANSA,151
MISSANDEI,TYRION,88
TYRION,VARYS,86
ARYA,JAQEN,83
DAVOS,MELISANDRE,82
GREY_WORM,TYRION,81
DAVOS,JON,80
GILLY,SAM,80
HIGH_SPARROW,MARGAERY,76
THEON,YARA,72
DAENERYS,TYRION,69
CERSEI,JAIME,66
ARYA,LADY_CRANE,64
DAARIO,JORAH,60
LITTLEFINGER,SANSA,57
DAARIO,DAENERYS,54
JON,MELISANDRE,54
JON,TORMUND,54
BRAN,MEERA,51
BRIENNE,JAIME,50
DAVOS,TORMUND,50
HIGH_SPARROW,TOMMEN,49
ARYA,WAIF,48
CERSEI,TOMMEN,48
EDDISON_TOLLETT,JON,48
BRIENNE,SANSA,46
GREY_WORM,MISSANDEI,44
HOUND,RAY,41
MARGAERY,OLENNA,40
HODOR,MEERA,39
BRAN,HODOR,38
DAVOS,SANSA,38
RAMSAY,SANSA,37
BRONN,JAIME,36
JAIME,TOMMEN,36
MARGAERY,TOMMEN,36
BRYNDEN,JAIME,35
RAMSAY,SMALLJON,34
HIGH_SPARROW,JAIME,33
LORAS,MARGAERY,33
BRIENNE,BRYNDEN,32
EDMURE,JAIME,31
JON,RAMSAY,30
BENJEN,BRAN,29
CERSEI,OLENNA,29
CERSEI,QYBURN,29
LYANNA,NED,29
SANSA,THEON,29
DAVOS,EDDISON_TOLLETT,28
BRIENNE,PODRICK,27
BERIC,HOUND,26
HOUND,THOROS,25
RAMSAY,ROOSE_BOLTON,25
JON,LYANNA_MORMONT,24
SANSA,TORMUND,24
BALON,YARA,23
OSHA,RAMSAY,23
ALLISER_THORNE,DAVOS,22
HIGH_SPARROW,LORAS,22
BRONN,PODRICK,21
CAMELLO,LADY_CRANE,21
DAENERYS,JORAH,21
EDDISON_TOLLETT,TORMUND,21
GREY_WORM,VARYS,21
MELESSA,SAM,21
BRAN,NED,20
JAQEN,WAIF,20
RAMSAY,WALDA,20
BRAN,LEAF,19
JAIME,WALDER,19
JON,ROBETT,19
ARYA,WALDER,18
CERSEI,KEVAN,18
DAENERYS,YARA,18
BALON,EURON,17
DAVOS,LYANNA_MORMONT,17
EURON,YARA,17
BIANCA,LADY_CRANE,16
BOBONO,LADY_CRANE,16
CERSEI,PYCELLE,16
EURON,THEON,16
IZEMBARO,LADY_CRANE,16
LITTLEFINGER,YOHN_ROYCE,16
